STATE,DISTRICT,STATION,LATITUDE,LONGITUDE,STATION_TYPE,JAN (Level m),FEB (Level m),MAR (Level m),APR (Level m),MAY (Level m),JUN (Level m),JUL (Level m),AUG (Level m),SEP (Level m),OCT (Level m),NOV (Level m),DEC (Level m),YEAR
PUNJAB,PATIALA,PATIALA;PATTRAN;PATTRAN;JOGEWAL;Govt. Primary School,29.87111111137097,76.10222222183518,TELEMETRIC,,,,,,,,,,,,,2018
PUNJAB,SANGRUR,Haryao,29.83333333022172,75.87777777997809,Manual,,,,,,,,,,23.95,,23.6,2018
PUNJAB,JALANDHAR,Sultanpur,31.10833332987001,75.17638888971968,Manual,,,,,,,,,,,,,2018
PUNJAB,MUKTSAR,MUKATSAR;MALOUT;LAMBI;PHULU KHERA;Civil Dispensary,30.063888889121586,74.46166666652269,TELEMETRIC,,,,,,,,,,,,,2018
PUNJAB,HOSHIARPUR,HOSHIARPUR;MUKERIAN;TALWARA;HEER BEH;Civil Dispensary,31.896666670249488,75.83250000022839,MANUAL,,,,,,,,,,,,,2018
PUNJAB,HOSHIARPUR,HOSHIARPUR;MUKERIAN;HAJIPUR;HAJIPUR;BDO OFFICE,31.976388888551377,75.75083333322134,TELEMETRIC,,,,,,,,,,,,,2018
PUNJAB,PATIALA,Manak Pur,30.599999999815715,76.63750000039875,Manual,,,,,,,,,,,,,2018
PUNJAB,SANGRUR,Hamirgarh,29.844444439877307,75.9388888904659,Manual,,,,,,,,,,,,,2018
PUNJAB,LUDHIANA,LUDHIANA;LUDHIANA;ALAMGEER;GOVT. SCHOOL,30.78805555599336,75.85888888930235,TELEMETRIC,,,,,,,,,,,,,2018
PUNJAB,GURDASPUR,Nangal-Pz,31.96249999989736,75.36944443991625,Manual,,,,,3.6,,,,,2.7,,3,2018
PUNJAB,FARIDKOT,Ghuiana-Pz,30.745555559810537,74.63944444006808,Manual,,,,,5.2,,,,,4.3,,,2018
PUNJAB,SHAHID BHAGAT SINGH NAGAR,Nawa Shahar,31.126388889968876,76.12222221986505,Manual,,,,,,,,,,,,,2018
PUNJAB,JALANDHAR,Talwani Madho-Pz,31.204166669959445,75.30833333000523,Manual,,,,,,,,,,33.07,,,2018
PUNJAB,MUKTSAR,Phulu Khera-Pz,30.063888890060376,74.46138889002596,Manual,,,,,2.9,,,,,2.4,,,2018
PUNJAB,TARN TARAN,Sheron-Pz,31.379166670171216,74.95416666972928,Manual,,,,,22.6,,,,,22.7,,22.3,2018
PUNJAB,SHAHID BHAGAT SINGH NAGAR,NAWAN SHAHR;BALACHAUR;BALACHAUR ;MAHALPUR;Sub Helth Center,31.05666666972272,76.26333333043237,MANUAL,,,,,,,,,,,,,2018
PUNJAB,KAPURTHALA,bholath S,31.534722219610398,75.50555556014638,Manual,,,,10.24,10.24,,,9.67,,9.82,,9.01,2018
PUNJAB,LUDHIANA,Mangat-Pz-S,30.978611109751714,75.91194444013904,Manual,,,,11.14,11.14,,,11.77,,10.32,,26.82,2018
PUNJAB,AMRITSAR,Boparai Khurd-Pz,31.625000000007173,74.72499999981405,Manual,,,,,17.5,,,,,17.1,,16,2018
