STATE,DISTRICT,STATION,LATITUDE,LONGITUDE,STATION_TYPE,MAY (Level m),AUG (Level m),YEAR
HARYANA,PANIPAT,Lohari (m),29.358333330261694,76.83888889033481,Manual,,,1996
HARYANA,AMBALA,Nanhera-DW,30.31111111041614,76.8461111097082,Manual,,,1996
HARYANA,HISAR,Durjanpur,29.238888889726372,75.64583333028676,Manual,8.41,8.11,1996
HARYANA,JIND,Gangoli-DW,29.299999999764186,76.52805556030046,Manual,,,1996
HARYANA,SONIPAT,Baroda Mor-DW,29.14666666975872,76.62861111041738,Manual,,,1996
HARYANA,YAMUNANAGAR,Chamrori-Pz,30.05000000016498,77.13333333005446,Manual,,,1996
HARYANA,KURUKSHETRA,Brahan,29.991666670443944,77.04166666954471,Manual,,,1996
HARYANA,MEWAT,Punhana-Pz,27.86111111014968,77.20555556015312,Manual,,,1996
HARYANA,SONIPAT,Gorar-DW,28.947777780242923,76.81250000019539,Manual,,,1996
HARYANA,SONIPAT,Mahara,29.098611109976677,76.68472221966293,Manual,4.37,3.53,1996
HARYANA,GURGAON,Farrukh Nagar-Pz,28.44722222007407,76.824999999725,Manual,,,1996
HARYANA,REWARI,Aulant,28.25833333044909,76.46666667017277,Manual,,,1996
HARYANA,SIRSA,Dabwali,29.954166670338527,74.73750000034462,Manual,9.51,9.18,1996
HARYANA,GURGAON,Sidrawali-Pz,28.266666670389505,76.83472222009206,Manual,,,1996
HARYANA,KAITHAL,TUBEWELL NO. 1 NEAR UPSTREAM GHAGGAR RIVER VILLAGE CHIALI,30.128579999958248,76.43317600047712,MANUAL,,,1996
HARYANA,SIRSA,Rania-DW,29.527777780448524,74.8499999999607,Manual,,,1996
HARYANA,KAITHAL,Pharal,29.834722220088143,76.58472221976366,Manual,13.42,13.29,1996
HARYANA,HISAR,Badchappar,29.11666667028197,76.30555556012727,Manual,1.44,1.43,1996
HARYANA,GURGAON,Meoka-Pz,28.408888889538268,76.91916666978375,Manual,,,1996
HARYANA,SONIPAT,Pipli-DW,28.864444439740453,76.94305556016046,Manual,,,1996
HARYANA,GURGAON,Nurgarh-Pz,28.35833332977256,76.68055556001502,Manual,,,1996
HARYANA,PANIPAT,Bilaspur2,29.241666669637407,77.12499999955766,Manual,,,1996
HARYANA,KURUKSHETRA,Bapda-PZ,29.97277778003132,77.05722222029779,Manual,,,1996
HARYANA,SONIPAT,Murthal,29.037499999629816,77.08749999983212,Manual,,,1996
HARYANA,HISAR,Dhand-DW,29.319999999916767,76.01583332982077,Manual,,,1996
HARYANA,FATEHABAD,Khajoori Jattan Ew,29.472777780104018,75.62750000005511,Manual,,,1996
HARYANA,AMBALA,Shahzadpur-Pz,30.43333333013789,77.01666667043558,Manual,,,1996
HARYANA,KAITHAL,Guhna pz,29.766666670028886,76.25999999956238,Manual,,,1996
HARYANA,KURUKSHETRA,Berthala(shallow),30.129166669615692,76.9833333301192,Manual,,,1996
HARYANA,PANIPAT,Israna(m),29.277777779943943,76.85277777989874,Manual,,,1996
HARYANA,KAITHAL,Guhla (deep),30.04027778021509,76.30000000030658,Manual,,,1996
HARYANA,HISAR,Agroha,29.308333330263697,75.64999999963914,Manual,18.4,18.23,1996
HARYANA,KARNAL,Amin S,29.872222219980074,76.84444444027581,Manual,,,1996
HARYANA,ROHTAK,Nandal-DW,29.01583332975205,76.48472222020173,Manual,,,1996
HARYANA,KURUKSHETRA,Batheri-PZ,29.939166670016576,76.59222222034927,Manual,,,1996
HARYANA,SONIPAT,Nizaimpur,29.22916667034155,76.50555556014024,Manual,2.39,1.28,1996
HARYANA,BHIWANI,Bhiwanihera,28.936111110289744,76.04166666966816,Manual,,,1996
HARYANA,YAMUNANAGAR,Shadipur,30.099999999853907,77.27916666992719,Manual,,2.31,1996
HARYANA,KARNAL,Kohand,29.508333330448398,76.98333332992954,Manual,,,1996
HARYANA,PALWAL,Mandkola,28.149166670405172,77.18527777967536,Manual,,,1996
HARYANA,AMBALA,Budhha Khera-DW,30.34777778043109,77.08388888953564,Manual,,,1996
HARYANA,SIRSA,Mastian,29.88611110961185,74.71999999961194,Manual,17.25,17.0,1996
HARYANA,JIND,Pega-DW,29.5088888903316,76.40694444013927,Manual,,,1996
HARYANA,BHIWANI,Bohal,28.961111110381864,75.92138889013259,Manual,14.78,14.43,1996
HARYANA,YAMUNANAGAR,Dhaurang S,30.066666669666557,77.1916666695887,Manual,,,1996
HARYANA,KURUKSHETRA,Lohar Majra-PZ,29.952777779741602,76.72499999989437,Manual,,,1996
HARYANA,HISAR,Rajthal,29.258333330198177,76.18749999969306,Manual,6.37,6.09,1996
HARYANA,SIRSA,Ding,29.4624999995393,75.26388888975657,Manual,12.36,12.06,1996
HARYANA,KARNAL,Kutail S,29.586111109583143,77.02222221948945,Manual,,,1996
HARYANA,AMBALA,Dhanaura,30.295833329891416,77.11666666985141,Manual,4.21,,1996
HARYANA,REWARI,Bawal2,28.07083333017813,76.57916667006249,Manual,,,1996
HARYANA,PALWAL,Pelak-Pz,28.15555556025669,77.42638888964944,Manual,,,1996
HARYANA,JIND,Alewa,29.47083333024744,76.45416667002877,Manual,12.2,,1996
HARYANA,PALWAL,Nangal Jat-DW,27.877777779580068,77.28333332968491,Manual,,,1996
HARYANA,PALWAL,TUBEWELL AT GARHI HODAL  PALWAL,27.882959000182236,77.36512700003742,MANUAL,,,1996
HARYANA,SIRSA,Tejakhera,29.844444440436497,74.55555555988609,Manual,14.1,13.36,1996
HARYANA,SIRSA,Sahuwala,29.66666666979023,74.9499999999605,Manual,3.17,2.95,1996
HARYANA,PANCHKULA,Ram Nagar-DW,30.849999999890233,76.8666666703174,Manual,,,1996
HARYANA,JHAJJAR,Kulasi,28.77222222028634,76.91249999954402,Manual,1.05,1.51,1996
HARYANA,SIRSA,Nathanpur,29.63194444034862,74.63333333026141,Manual,14.14,13.74,1996
HARYANA,AMBALA,Uplana D,30.283333329965643,77.033333330048,Manual,,,1996
HARYANA,KAITHAL,Pundri(s),29.777777779955482,76.57499999984663,Manual,,,1996
HARYANA,KAITHAL,Mataur,29.60833332990254,76.25833333022919,Manual,2.89,3.14,1996
HARYANA,KURUKSHETRA,Ladwa 3(s),29.995833330032788,77.07916666956082,Manual,,,1996
HARYANA,ROHTAK,Kansala,28.891666669777628,76.77500000036322,Manual,4.18,2.32,1996
HARYANA,HISAR,Pali-DW,29.170833330447675,76.08055555973242,Manual,,,1996
HARYANA,GURGAON,Jhanjrola,28.48333333038348,77.00416666997602,Manual,,,1996
HARYANA,MAHENDRAGARH,Budhwal,27.81666666956639,76.16666667026311,Manual,,,1996
HARYANA,SONIPAT,Ganaur-Pz,29.133333330008856,77.01444444035866,Manual,,,1996
HARYANA,FARIDABAD,Nahar Singh Stadium,28.412500000257,77.33333332951767,Manual,,,1996
HARYANA,KARNAL,Rattak-Pz,29.582500000055827,76.62555555957161,Manual,,,1996
HARYANA,AMBALA,Gadauli-Pz-M,30.38305555978725,77.15916666962882,Manual,,,1996
HARYANA,BHIWANI,Unn-DW,28.644444439754114,76.38888889004217,Manual,,,1996
HARYANA,GURGAON,Gangola-DW,28.261111109622153,77.20555556003578,Manual,,,1996
HARYANA,FARIDABAD,Amarpur Pzm,28.203333329701852,77.43749999996845,Manual,,,1996
HARYANA,KARNAL,Raipur 1(m),29.8499999996977,76.95000000051519,Manual,,,1996
HARYANA,PALWAL,Hodel,27.883333330411354,77.34999999962767,Manual,12.64,11.14,1996
HARYANA,KURUKSHETRA,Jandaula-Pz,29.88888889042909,76.57277778000724,Manual,,,1996
HARYANA,SONIPAT,Datauli-Pz,29.159722219888405,77.08055555997005,Manual,,,1996
HARYANA,MEWAT,Pinangwan,27.8958333301872,77.10000000006895,Manual,3.44,3.12,1996
HARYANA,SIRSA,Sirsa-Pz,29.53583332997525,75.04944444012065,Manual,,,1996
HARYANA,KAITHAL,Khanpur-Pz,29.851388890424943,76.37222221958127,Manual,,,1996
HARYANA,KARNAL,Garhi Khajur S,29.53333333033136,77.05694443967954,Manual,,,1996
HARYANA,SIRSA,Tigri-DW,29.917777779643988,74.90555555977825,Manual,,,1996
HARYANA,PALWAL,Jaindapur,28.204166670170153,77.23888889008045,Manual,3.68,2.64,1996
HARYANA,HISAR,Kanoh-Pz,29.372777779592088,75.75694443965511,Manual,,,1996
HARYANA,HISAR,Mothmajri,29.208333330139972,76.0958333302142,Manual,4.42,4.17,1996
HARYANA,KAITHAL,Rajaund-Pz,29.57777778017708,76.50972222013783,Manual,,,1996
HARYANA,KARNAL,Nalvi Kalan-Pz,29.69388889043268,77.09861110949835,Manual,,,1996
HARYANA,KURUKSHETRA,Santokhpur D,30.029166669750875,76.72500000025347,Manual,,,1996
HARYANA,AMBALA,Laha,30.283333329965643,77.033333330048,Manual,,,1996
HARYANA,BHIWANI,Kasni kalan,28.67916666974334,75.68749999958844,Manual,,,1996
HARYANA,PALWAL,Bazida Pahar-DW,28.049999999985904,77.28888889044336,Manual,,,1996
HARYANA,KURUKSHETRA,Mohri-Pz,30.24166666954264,76.85277777991324,Manual,,,1996
HARYANA,SONIPAT,Sonepat,29.001388890240836,77.02083332963926,Manual,,,1996
HARYANA,AMBALA,Khera Jattan-DW,30.450000000330657,76.91666667048673,Manual,,,1996
HARYANA,FATEHABAD,Pilimudari,29.387500000091077,75.25833333045315,Manual,,,1996
HARYANA,REWARI,Juddi-DW,28.429444440295548,76.43499999964949,Manual,,,1996
HARYANA,SONIPAT,Bohela,29.0805555604238,76.85611110998828,Manual,2.88,,1996
HARYANA,KURUKSHETRA,Sunder Pur-PZ,29.96000000039252,76.86416666993182,Manual,,,1996
HARYANA,SONIPAT,Rithal Phogat,28.996666669942307,76.76111111018959,Manual,3.12,,1996
HARYANA,PANIPAT,Mehmadpur,29.455555559626923,76.94305556036157,Manual,,,1996
HARYANA,HISAR,Adampur-Pz,29.278333330342203,75.49194444016936,Manual,,,1996
HARYANA,BHIWANI,Kairu-Pz,28.697777779625806,75.82222222014853,Manual,,,1996
HARYANA,MAHENDRAGARH,Deroli Ahir,28.173333330123,76.15638889015301,Manual,,,1996
HARYANA,KARNAL,Nanhera,29.869444440300725,77.09166667045507,Manual,,,1996
HARYANA,KARNAL,Raipur,29.87499999981221,76.924999999567,Manual,,,1996
HARYANA,YAMUNANAGAR,Naggal1,30.069444439858607,77.28083333019818,Manual,,,1996
HARYANA,JIND,Danoda Khurd-Pz,29.531944439987782,75.98750000019524,Manual,,,1996
HARYANA,SIRSA,Ottu 1(s),29.499999999851326,74.89999999963867,Manual,8.7,7.78,1996
HARYANA,ROHTAK,Lakhan Majara,29.043055560130693,76.47638889037553,Manual,3.75,1.78,1996
HARYANA,YAMUNANAGAR,Jagadhri-Pz,30.166666670325185,77.30000000032207,Manual,,,1996
HARYANA,AMBALA,Khanna Majra,30.247777779872532,76.65722222047832,Manual,,,1996
HARYANA,FATEHABAD,Bhattukalan,29.37499999999104,75.3458333298078,Manual,2.0,1.85,1996
HARYANA,SIRSA,Ottu 2(vs),29.499999999851326,74.89999999963867,Manual,,,1996
HARYANA,JIND,Karsindhu-Dw,29.50250000001861,76.22666667006148,Manual,,,1996
