STATE,DISTRICT,STATION,LATITUDE,LONGITUDE,STATION_TYPE,MAY (Level m),AUG (Level m),YEAR,geometry
HARYANA,JHAJJAR,Bahadurgarh,28.691666670181217,76.93333333028963,Manual,8.62,7.65,1996,POINT (76.93333333028963 28.69166667018122)
HARYANA,FATEHABAD,Dhaulu,29.591666670116123,75.67916666994185,Manual,11.44,11.34,1996,POINT (75.67916666994185 29.59166667011612)
HARYANA,KARNAL,Chorpur(shallow),29.78333333020587,77.11666667001569,Manual,,,1996,POINT (77.11666667001569 29.78333333020587)
HARYANA,PANIPAT,Sewah(shallow),29.341666670299322,76.97916666976707,Manual,,,1996,POINT (76.97916666976707 29.34166667029932)
HARYANA,FATEHABAD,Jagiwala-DW,29.266666670449816,75.23472222002734,Manual,,,1996,POINT (75.23472222002734 29.26666667044982)
HARYANA,SIRSA,Sukhchain-DW,29.777777780398523,75.03611110988264,Manual,,,1996,POINT (75.03611110988264 29.77777778039852)
HARYANA,AMBALA,Kapoori At Saphera-PZ,30.34055555965784,76.92833333039471,Manual,,,1996,POINT (76.92833333039471 30.34055555965784)
HARYANA,SONIPAT,Juan-DW,29.062500000072326,76.90055555955526,Manual,,,1996,POINT (76.90055555955526 29.06250000007233)
HARYANA,ROHTAK,Atail-DW,28.841666670390183,76.75194443983612,Manual,,,1996,POINT (76.75194443983612 28.84166667039018)
HARYANA,KARNAL,Saunkra (deep),29.78472221975934,76.87999999960387,Manual,,,1996,POINT (76.87999999960387 29.78472221975934)
HARYANA,KARNAL,Bala,29.502777780263337,76.72472222026705,Manual,,,1996,POINT (76.72472222026705 29.50277778026334)
HARYANA,MAHENDRAGARH,Khatodra-Pz,28.274999999813662,76.07083332963407,Manual,,,1996,POINT (76.07083332963407 28.27499999981366)
HARYANA,PANCHKULA,Ramgarh-DW,30.649999999558148,76.88333333052596,Manual,,,1996,POINT (76.88333333052596 30.64999999955815)
