STATE,DISTRICT,STATION,LATITUDE,LONGITUDE,STATION_TYPE,JAN (Level m),FEB (Level m),MAR (Level m),APR (Level m),MAY (Level m),JUN (Level m),JUL (Level m),AUG (Level m),SEP (Level m),OCT (Level m),NOV (Level m),DEC (Level m),YEAR
HARYANA,JHAJJAR,Bagoa,28.672222220249893,76.43055556004643,Manual,,,,,2.88,,,,,,1.7,,2016
HARYANA,AMBALA,Saha-Pz,30.316666669634778,76.98333333019295,Manual,,,,,,,,,,,,,2016
HARYANA,PALWAL,Dighaut(shallow),27.97083332999389,77.41666666973009,Manual,,,,,,,,,,,,,2016
HARYANA,KAITHAL,Kalesar-DW,29.591111110093458,76.2880555603581,Manual,,,,,,,,,,,,,2016
HARYANA,MAHENDRAGARH,Kamania,27.94444443981936,76.00083333044026,Manual,,,,,,,,,,,,,2016
HARYANA,KARNAL,Bastali,29.73611111002231,76.72500000028448,Manual,,,,,,,,,,,,,2016
HARYANA,ROHTAK,Kharawar,28.972222220369286,76.68333332967396,Manual,,,,,,,,,,,,,2016
HARYANA,JIND,Chhabri,29.266666670271732,76.45833332994255,Manual,,,,,5.43,,,2.93,,,3.53,,2016
HARYANA,ROHTAK,Meham,28.96388889042254,76.2916666699314,Manual,,,,,,,,,,,,,2016
HARYANA,KURUKSHETRA,Ajrawer-PZ,30.14861110999015,76.68611110954237,Manual,,,,,,,,,,,,,2016
HARYANA,HISAR,Deva-DW,29.06944443980016,75.67499999984987,Manual,,,,,,,,,,,,,2016
HARYANA,FATEHABAD,Aharwan M,29.607777780387387,75.54166667033635,Manual,,,,,,,,,,,61.7,,2016
HARYANA,JIND,Safidon (s),29.400000000335304,76.65000000012377,Manual,,,,,15.75,,,,,,17.64,,2016
HARYANA,PANIPAT,Chajpur Khurd,29.37916666965437,77.00833332954512,Manual,,,,,,,,,,,,,2016
HARYANA,GURGAON,Manesar-Pz,28.35249999987807,76.95472222036612,Manual,,,,,30.76,,,,,,31.27,,2016
HARYANA,BHIWANI,Pataudi Khurd,28.797222220345695,75.80833332950827,Manual,,,,,11.18,,,,,,11.36,,2016
HARYANA,YAMUNANAGAR,Masana Jattan-Pz,30.131944439944863,77.12388888948404,Manual,,,,,27.68,,,,,,29.4,,2016
HARYANA,ROHTAK,Sampla,28.78333333012675,76.7625000000028,Manual,,,,,1.73,,,,,,0.92,,2016
HARYANA,REWARI,Harinagar-DW,28.194444439748445,76.57499999978295,Manual,,,,,,,,,,,,,2016
HARYANA,FATEHABAD,Naggal,29.764444440254938,75.50000000028052,Manual,,,,,,,,,,,,,2016
HARYANA,SIRSA,Sirsa,29.541666669909695,75.03333333025634,Manual,,,,,,,,,,,,,2016
HARYANA,BHIWANI,Sirsa-DW,28.775000000196073,76.24999999954878,Manual,,,,,,,,,,,,,2016
HARYANA,YAMUNANAGAR,Naggal M,30.069444439858614,77.28083333019819,Manual,,,,,6.73,,,,,,5.53,,2016
HARYANA,KARNAL,Rambha-Pz,29.796388890328366,76.97666667031191,Manual,,,,,,,,,,,,,2016
HARYANA,GURGAON,Chandu,28.47222221959027,76.92500000025665,Manual,,,,,,,,,,,,,2016
HARYANA,ROHTAK,Kherari-DW,28.80972222024546,76.35833333033852,Manual,,,,,,,,,,,,,2016
HARYANA,HISAR,Barwala S,29.183333330271605,75.96583332959693,Manual,,,,,,,,,,,,,2016
HARYANA,BHIWANI,Hetampur,28.703333330404398,75.90333332960837,Manual,,,,,11.62,,,,,,10.51,,2016
HARYANA,KURUKSHETRA,Ram Sharan Majra-Pz,30.001666670346626,77.00027777968009,Manual,,,,,33,,,,,,34.46,,2016
HARYANA,PALWAL,Barauli (shallow),28.094444440202516,77.46249999960696,Manual,,,,,,,,,,,,,2016
HARYANA,AMBALA,Patwi,30.469444440346024,76.93888889029614,Manual,,,,,,,,,,,14.48,,2016
HARYANA,AMBALA,Saha S,30.30833332993041,76.97083333040632,Manual,,,,,,,,,,,,,2016
HARYANA,KAITHAL,Balu-DW,29.651388890145824,76.36944443956988,Manual,,,,,,,,,,,,,2016
HARYANA,PANIPAT,Samalkha-Pz,29.236111109829544,77.0138888898453,Manual,,,,,,,,,,,,,2016
HARYANA,JHAJJAR,Salawas,28.454166670151807,76.4750000003759,Manual,,,,,,,,,,,3.69,,2016
HARYANA,ROHTAK,TUBEWELL AT ASSAM OIL PETROL PUMP NEAR ROHTAK ROAD BYPASS PANIPAT,28.943973000228514,76.61007299992613,MANUAL,,,,,,,,,,,,,2016
HARYANA,GURGAON,TUBEWELL NO. 4 HAILY MANDI TEHSIL - PATAUDI (PWD) GURUGRAM,28.33175199982658,76.77530599957755,MANUAL,,,,,,,,,,,,,2016
HARYANA,MAHENDRAGARH,Kaninakhas,28.337500000083818,76.30833333031491,Manual,,,,,,,,,,,,,2016
HARYANA,KAITHAL,Kaithal,29.808333329629942,76.40833333000117,Manual,,,,,,,,,,,,,2016
HARYANA,BHIWANI,Sangwan PZM,28.872222219910782,75.9583333304045,Manual,,,,,3.7,,,,,,,,2016
HARYANA,REWARI,Palhawas,28.358333330107587,76.62500000044149,Manual,,,,,,,,,,,,,2016
HARYANA,KURUKSHETRA,Samaspur,29.958333329940743,76.82694443988039,Manual,,,,,,,,,,,,,2016
HARYANA,SONIPAT,Farmana,28.984722220229713,76.81250000050218,Manual,,,,,7.35,,,7.22,,,7.4,,2016
HARYANA,SIRSA,Govindgarh-DW,29.85555555988771,74.6847222202294,Manual,,,,,,,,,,,,,2016
HARYANA,BHIWANI,Miran1,28.848611110090793,75.74166667016848,Manual,,,,,4.04,,,,,,3.78,,2016
HARYANA,SONIPAT,Pugthala-Pz,29.167499999802658,76.88750000033993,Manual,,,,,,,,,,,,,2016
HARYANA,KARNAL,Buttan Kheri S,29.900000000241377,76.99583333001,Manual,,,,,,,,,,,,,2016
HARYANA,KURUKSHETRA,Berthala S,30.12916666961569,76.98333333011921,Manual,,,,,36.69,,,,,,,,2016
HARYANA,HISAR,Mirka,29.075000000163154,75.75833333025761,Manual,,,,,3.34,,,,,,,,2016
HARYANA,KAITHAL,Dorana Pz,29.51861111019872,76.48194444013855,Manual,,,,,25.76,,,,,,,,2016
HARYANA,KARNAL,Shekhpura,29.654166670069873,77.03138888983311,Manual,,,,,,,,,,,,,2016
HARYANA,BHIWANI,Kakroli Hukmi,28.570833330315534,75.9597222203962,Manual,,,,,,,,,,,,,2016
HARYANA,JIND,Atikrishna2(m),29.287499999703186,76.33888889026457,Manual,,,,,,,,,,,,,2016
HARYANA,ROHTAK,Rohtak1,28.886111109709667,76.62361110951635,Manual,,,,,,,,,,,,,2016
HARYANA,MAHENDRAGARH,Faizabad-DW,28.121666670314255,76.1216666700303,Manual,,,,,,,,,,,,,2016
HARYANA,KURUKSHETRA,Ladwa 1(m),29.995833330032784,77.07916666956082,Manual,,,,,,,,,,,,,2016
HARYANA,PANCHKULA,Abdullapur,30.794722220220542,76.9163888904071,Manual,,,,,,,,,,,,,2016
HARYANA,MAHENDRAGARH,Khatoti Kalan,28.111111109981948,76.03333332975076,Manual,,,,,,,,,,,,,2016
HARYANA,HISAR,Sorkhi-Pz,29.058333330112294,76.10888888967432,Manual,,,,,3.91,,,2.1,,,2.46,,2016
HARYANA,FARIDABAD,Ballabhgarh,28.345833329906114,77.32083332988063,Manual,,,,,29.32,,,,,,,,2016
HARYANA,KAITHAL,Gulha 2(m),30.040277780215085,76.30000000030658,Manual,,,,,,,,,,,,,2016
HARYANA,PALWAL,Phulwari-DW,28.072222219987207,77.32499999992504,Manual,,,,,,,,,,,,,2016
HARYANA,ROHTAK,Baliana-DW,28.87083333044818,76.68361111011829,Manual,,,,,,,,,,,,,2016
HARYANA,SONIPAT,Safiabad-Pz,28.882222220124024,77.07722222006004,Manual,,,,,,,,,,,,,2016
HARYANA,AMBALA,Mulana,30.283333329858795,77.04583332964782,Manual,,,,,,,,,,,2.95,,2016
HARYANA,BHIWANI,Mehra-DW,28.51666667025138,76.11388888993935,Manual,,,,,,,,,,,,,2016
HARYANA,FARIDABAD,"Nhiv,cgwb(s)",28.418055560251737,77.3138888904458,Manual,,,,,,,,,,,,,2016
HARYANA,YAMUNANAGAR,Chhachhrauli,30.245833329886946,77.35000000043438,Manual,,,,,,,,,,,13.6,,2016
HARYANA,JIND,Karela-DW,29.136111109844123,76.32499999964334,Manual,,,,,,,,,,,,,2016
HARYANA,KURUKSHETRA,Jalbehra-PZ,30.07888888972653,76.66861110975691,Manual,,,,,,,,,,,,,2016
HARYANA,PALWAL,Thekarka,28.01666666993414,77.13472222022993,Manual,,,,,,,,,,,,,2016
HARYANA,JIND,Jhanj Kalan,29.374999999904535,76.27499999991227,Manual,,,,,,,,,,,,,2016
HARYANA,BHIWANI,Tosham1,28.874999999573102,75.91666666992386,Manual,,,,,6.67,,,,,,5.95,,2016
HARYANA,PANIPAT,Tajpur M,29.302222219735164,77.07499999964034,Manual,,,,,,,,,,,,,2016
HARYANA,FARIDABAD,Immamudipur,28.283333330293626,77.47083332986271,Manual,,,,,,,,,,,,,2016
HARYANA,GURGAON,Wapcos,28.47499999955412,77.02083332999686,Manual,,,,,,,,,,,,,2016
HARYANA,KARNAL,Ajanthali-Pz,29.825555559888908,76.87444444032501,Manual,,,,,,,,,,,,,2016
HARYANA,PALWAL,Bhanguri,28.087499999955135,77.26388888956262,Manual,,,,,,,,,,,,,2016
HARYANA,JHAJJAR,Wazirpur,28.68333332953824,76.57222221958676,Manual,,,,,1.98,,,,,,1.35,,2016
HARYANA,KAITHAL,Majri-Pz-D,29.98500000000207,76.2383333295538,Manual,,,,,,,,,,,,,2016
HARYANA,JIND,Narwana S,29.599999999720872,76.12500000004381,Manual,,,,,,,,,,,,,2016
HARYANA,KAITHAL,Nangla-DW,29.613888889635145,75.88749999973687,Manual,,,,,,,,,,,,,2016
HARYANA,AMBALA,Tamnauli,30.312499999928306,77.02499999998604,Manual,,,,,,,,,,,,,2016
HARYANA,BHIWANI,Gurera PZ,28.917499999588113,75.51916666952668,Manual,,,,,14.85,,,,,,14.84,,2016
HARYANA,KURUKSHETRA,Teora-PZ,30.123333330031173,76.88222221969734,Manual,,,,,,,,,,,,,2016
HARYANA,MEWAT,Ravali,27.800000000400765,76.93333332954063,Manual,,,,,,,,,,,,,2016
HARYANA,PANCHKULA,Jaspur-Pz,30.479722220301095,76.95194444012022,Manual,,,,,16.71,,,,,,,,2016
HARYANA,SIRSA,Sadewala,29.644444439823115,74.72083332967951,Manual,,,,,,,,,,,,,2016
HARYANA,HISAR,Ghursal-Pz,29.170833329739494,75.42277777956579,Manual,,,,,8.42,,,9.1,,,8.54,,2016
HARYANA,AMBALA,Shahjahan Pur-DW,30.54416667043183,77.0469444395739,Manual,,,,,,,,,,,,,2016
HARYANA,PALWAL,Palwal,28.149999999710527,77.32500000046784,Manual,,,,,6.75,,,,,,7.13,,2016
HARYANA,BHIWANI,Rambas,28.491666670338326,76.1083333300029,Manual,,,,,,,,,,,,,2016
HARYANA,FATEHABAD,Jandli Kalan,29.50416666987033,75.6458333303162,Manual,,,,,5.07,,,,,,5.16,,2016
HARYANA,KARNAL,Dingar Majra-Pz,29.502777780256128,76.92083332993164,Manual,,,,,33.67,,,39.3,,,37.4,,2016
HARYANA,KURUKSHETRA,Nalvi,30.179166670252,76.7805555604281,Manual,,,,,,,,,,,,,2016
